PROJECT ID,PROJECT NAME,PROJECT STATUS,PRODUCT LINE,REGION,COUNTRY,LENDING INSTRUMENT,LENDING INSTRUMENT TYPE,ENV. CATEGORY,IMP AGENCY,SECTOR 1,APPROVAL DATE,CLOSING DATE,commitment_total,disbursement_total,d1,pct_dis1,total_pct_dis1,d2,pct_dis2,total_pct_dis2,d3,pct_dis3,total_pct_dis3,d4,pct_dis4,total_pct_dis4,d5,pct_dis5,total_pct_dis5,d6,pct_dis6,total_pct_dis6,d7,pct_dis7,total_pct_dis7,full_duration,ad1,d1_duration,d1_pct_duration,ad2,d2_duration,d2_pct_duration,ad3,d3_duration,d3_pct_duration,ad4,d4_duration,d4_pct_duration,ad5,d5_duration,d5_pct_duration,ad6,d6_duration,d6_pct_duration,ad7,d7_duration,d7_pct_duration
P006970,OECS Ship-Generated Waste Management Project,Closed,IBRD/IDA,LATIN AMERICA AND CARIBBEAN,OECS Countries,Sector Investment and Maintenance Loan,INVESTMENT,A,OECS,Solid waste management,4-May-95,30-Jun-03,11500000,5881527.14,0,0,0,0,0,0,0,0,0,470851.33,0.0800559649,0.0800559649,1647384.42,0.2800946728,0.3601506377,1611340.42,0.2739663325,0.6341169702,2151950.97,0.3658830298,1,97,4-May-95,0,0,4-May-95,0,0,4-May-95,0,0,4-May-95,0,0,4-May-95,0,0,4-May-95,0,0,4-May-95,0,0
P035730,OECS: Telecommunication Reform,Closed,IBRD/IDA,LATIN AMERICA AND CARIBBEAN,OECS Countries,Technical Assistance Loan,INVESTMENT,C,OECS SECRETARIAT,Central government administration,4-Jun-98,31-Dec-04,6000000,3929277.01,544997.62,0.1387017557,0.1387017557,544997.61,0.1387017532,0.2774035089,544997.62,0.1387017557,0.4161052646,544997.61,0.1387017532,0.5548070178,583016.95,0.1483776655,0.7031846833,583016.95,0.1483776655,0.8515623489,583252.65,0.1484376511,1,78,4-Jun-98,0,0,4-Jun-98,0,0,4-Jun-98,0,0,4-Jun-98,0,0,4-Jun-98,0,0,4-Jun-98,0,0,4-Jun-98,0,0
P088448,Telecommunications & ICT Development Project,Closed,IBRD/IDA,LATIN AMERICA AND CARIBBEAN,OECS Countries,Technical Assistance Loan,INVESTMENT,C,OECS SECRETARIAT,Telecommunications,12-May-05,31-Dec-11,2700000,2508747.49,544322,0.2169696242,0.2169696242,304434.03,0.1213490123,0.3383186364,303447.21,0.1209556606,0.4592742971,248380.22,0.0990056676,0.5582799646,586331.2,0.2337147132,0.7919946778,271669.84,0.1082890331,0.9002837109,250162.99,0.0997162891,1,79,12-May-05,0,0,12-May-05,0,0,12-May-05,0,0,12-May-05,0,0,12-May-05,0,0,12-May-05,0,0,12-May-05,0,0
P092473,Africa Emergency Locust Project,Closed,IBRD/IDA,AFRICA,Africa,Emergency Recovery Loan,INVESTMENT,B,"SEN,GAMB,MAURI,MALI,BURFASO,NIGER,CHAD",Crops,16-Dec-04,31-May-11,59500000,61528099.94,8706793.79,0.1415092258,0.1415092258,9313481.64,0.1513695636,0.2928787895,1947866.5,0.0316581611,0.3245369506,10370977.53,0.1685567658,0.4930937164,10826761.41,0.1759645011,0.6690582175,10221344.18,0.1661248144,0.8351830318,10140874.89,0.1648169682,1,77,16-Dec-04,0,0,16-Dec-04,0,0,16-Dec-04,0,0,16-Dec-04,0,0,16-Dec-04,0,0,16-Dec-04,0,0,16-Dec-04,0,0
P126974,Africa Higher Education Centers of Excellence Project,Active,IBRD/IDA,AFRICA,Western Africa,Specific Investment Loan,INVESTMENT,B,ACE SECRETARIAT,Tertiary education,15-Apr-14,31-Dec-19,150000000,13418476.84,0,0,0,500825,0.0373235357,0.0373235357,7614223,0.5674431674,0.6047667032,3079932.37,0.2295292086,0.8342959118,1557662.11,0.1160833773,0.9503792891,665834.36,0.0496207109,1,0,0,1,68,29-Sep-15,17,0.25,15-Apr-14,0,0,15-Apr-14,0,0,15-Apr-14,0,0,15-Apr-14,0,0,15-Apr-14,0,0,15-Apr-14,0,0
P150080,Sahel Women's Empowerment and Demographics Project,Active,IBRD/IDA,AFRICA,Western Africa,Investment Project Financing,INVESTMENT,C,"MOP NIGER - MOF MALI,MOF SENEGAL, AND UNFPA",Health,18-Dec-14,31-Dec-19,170200000,900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900000,1,1,60,23-Apr-15,4,0.0666666667,23-Apr-15,4,0.0666666667,18-Dec-14,0,0,18-Dec-14,0,0,18-Dec-14,0,0,18-Dec-14,0,0,18-Dec-14,0,0
P111556,AFCC2/RI-East Africa Public Health Laboratory Networking Project,Active,IBRD/IDA,AFRICA,Africa,Specific Investment Loan,INVESTMENT,B,,Health,25-May-10,30-Mar-20,63660000,46585047.43,0,0,0,0,0,0,0,0,0,0,0,0,12710958.17,0.2728548938,0.2728548938,12420534.21,0.2666206196,0.5394755134,21453555.05,0.4605244866,1,118,7-Jul-15,62,0.5254237288,7-Jul-15,62,0.5254237288,7-Jul-15,62,0.5254237288,7-Jul-15,62,0.5254237288,25-May-10,0,0,25-May-10,0,0,25-May-10,0,0
P054443,Structural Adjustment Credit (03),Closed,IBRD/IDA,AFRICA,Cameroon,Structural Adjustment Loan,DEVELOPMENT POLICY LENDING,U,MINISTRY OF ECONOMY AND FINANCE,"Ports, waterways and shipping",25-Jun-98,23-Jun-04,180000000,236197488.74,51991011.24,0.2201166978,0.2201166978,13400541,0.056734477,0.2768511748,10874808,0.0460411669,0.3228923417,8194106,0.0346917575,0.3575840992,6257773.6,0.0264938194,0.3840779185,3674966.1,0.0155588703,0.3996367889,141804282.8,0.6003632111,1,72,25-Jun-98,0,0,20-Jan-99,7,0.0972222222,6-Jun-00,24,0.3333333333,15-Jun-01,36,0.5,24-Jun-02,48,0.6666666667,6-Jun-03,60,0.8333333333,25-Jun-98,0,0
P079736,CEMAC - Transport-Transit Facilitation,Active,IBRD/IDA,AFRICA,Western Africa,Specific Investment Loan,INVESTMENT,B,,Rural and Inter-Urban Roads and Highways,26-Jun-07,31-Jan-16,201000000,333979263.28,25084609.33,0.0751082839,0.0751082839,21038094.21,0.062992217,0.1381005009,62950153.31,0.1884852152,0.3265857161,131975237.7,0.3951599761,0.7217456922,74171537.91,0.2220842611,0.9438299533,0,0,0.9438299533,18759630.82,0.0561700467,1,103,26-Jun-07,0,0,26-Jun-07,0,0,5-Nov-09,29,0.2815533981,26-Jun-07,0,0,5-Nov-09,29,0.2815533981,26-Jul-12,61,0.5922330097,23-Jun-11,48,0.4660194175
P008794,Power Sector Rehabilitation & Modernization Project,Closed,IBRD/IDA,EUROPE AND CENTRAL ASIA,Romania,Specific Investment Loan,INVESTMENT,B,RENEL,Power,29-Aug-95,31-Aug-04,110000000,75337247.4,1407558.66,0.0186834363,0.0186834363,704193.01,0.0093472092,0.0280306454,704193.06,0.0093472098,0.0373778553,704193.14,0.0093472109,0.0467250662,4572400,0.0606924218,0.107417488,67244709.53,0.892582512,1,0,0,1,108,29-Aug-95,0,0,29-Aug-95,0,0,29-Aug-95,0,0,29-Aug-95,0,0,29-Aug-95,0,0,29-Aug-95,0,0,,,
P010563,Financial Sector Development Project,Closed,IBRD/IDA,SOUTH ASIA,India,Financial Intermediary Loan,INVESTMENT,B,TBD,General finance sector,23-Mar-95,31-Oct-02,700000000,383700000,150000000,0.3909304144,0.3909304144,0,0,0.3909304144,6000000,0.0156372166,0.406567631,0,0,0.406567631,77700000,0.2025019547,0.6090695856,150000000,0.3909304144,1,0,0,1,91,23-Mar-95,0,0,23-Mar-95,0,0,23-Mar-95,0,0,23-Mar-95,0,0,23-Mar-95,0,0,23-Mar-95,0,0,,,
P122065,West Africa Agricultural Productivity Program APL (WAAPP-1C),Active,IBRD/IDA,AFRICA,Western Africa,Adaptable Program Loan,INVESTMENT,B,"CORAF,MRU SECRETARIAT,PUASA,PAC2,PASA,PACV,RPSDP,LASIP,FIRCA",Agricultural extension and research,24-Mar-11,30-Jun-16,83800000,64994634.53,5896732.97,0.0907264578,0.0907264578,19400532,0.2984943625,0.3892208203,5730237.77,0.0881647818,0.4773856021,12556179.47,0.1931879387,0.6705735408,10989989.54,0.1690907199,0.8396642607,10420962.78,0.1603357393,1,0,0,1,63,24-Mar-11,0,0,24-Mar-11,0,0,24-Mar-11,0,0,24-Mar-11,0,0,24-Mar-11,0,0,24-Mar-11,0,0,,,
P100406,AFCC2/RI-Lake Victoria Environmental Management Project Phase II,Active,IBRD/IDA,AFRICA,Eastern Africa,Adaptable Program Loan,INVESTMENT,A,LAKE VICTORIA BASIN COMMISSION AND 5 COUNTRIES,"General water, sanitation and flood protection sector",3-Mar-09,31-Dec-17,90000000,82114941.46,0,0,0,4205782,0.0512182305,0.0512182305,0,0,0.0512182305,31549588.32,0.3842125167,0.4354307472,18018134.75,0.219425776,0.6548565232,28341436.39,0.3451434768,1,0,0,1,105,26-May-15,74,0.7047619048,26-May-15,74,0.7047619048,26-May-15,74,0.7047619048,3-Mar-09,0,0,3-Mar-09,0,0,3-Mar-09,0,0,,,
